SCHOOL ID,SCHOOL NAME,CD,DISTRICT,SCHOOL EMAIL,,,,
105214,Bagong Sikat Elementary School,IV,Cabiao,105214@deped.gov.ph,,,,
105215,Bagong Silang Elementary School,IV,Cabiao,105215@deped.gov.ph,,,,
105216,Cabiao Central School,IV,Cabiao,105216@deped.gov.ph,,,,
105217,Concepcion Elementary School,IV,Cabiao,105217@deped.gov.ph,,,,
105218,Entablado Elementary School,IV,Cabiao,105218@deped.gov.ph,,,,
105231,Jose Rico Cruz Elementary School (Sta. Ines ES),IV,Cabiao,105231@deped.gov.ph,,,,
105219,Maligaya Elementary School,IV,Cabiao,105219@deped.gov.ph,,,,
105220,Palasinan Elementary School,IV,Cabiao,105220@deped.gov.ph,,,,
105221,Polilio Elementary School,IV,Cabiao,105221@deped.gov.ph,,,,
105222,San Antonio-Bagong Buhay Elementary School,IV,Cabiao,105222@deped.gov.ph,,,,
105223,San Carlos Elementary School,IV,Cabiao,105223@deped.gov.ph,,,,
105224,San Fernando Norte Elementary School,IV,Cabiao,105224@deped.gov.ph,,,,
105225,San Fernando Sur Elem. School,IV,Cabiao,105225@deped.gov.ph,,,,
105226,San Gregorio Elementary School,IV,Cabiao,105226@deped.gov.ph,,,,
105227,San Roque Elementary School,IV,Cabiao,105227@deped.gov.ph,,,,
105228,San Vicente Elementary School,IV,Cabiao,105228@deped.gov.ph,,,,
105229,Sinipit Elementary School,IV,Cabiao,105229@deped.gov.ph,,,,
105230,St. Joseph Elementary School,IV,Cabiao,105230@deped.gov.ph,,,,
105232,Sta. Isabel Elementary School,IV,Cabiao,105232@deped.gov.ph,,,,
105233,Sta. Rita Elementary School,IV,Cabiao,105233@deped.gov.ph,,,,
137212,Enrique P. Rivera Jr. Elementary School,IV,Cabiao,137212@deped.gov.ph,,,,
300517,Gregorio T. Crespo Memorial High School,IV,Cabiao,300517@deped.gov.ph,,,,
306823,Manuel V. Gallego High School,IV,Cabiao,306823@deped.gov.ph,,,,
305811,St. Joseph National High School,IV,Cabiao,305811@deped.gov.ph,,,,
300856,Sta. Rita National High School,IV,Cabiao,300856@deped.gov.ph,,,,
300792,Cabiao National High School,IV,Cabiao,300792@deped.gov.ph,,,,
306049,Gen. Mariano N. Llanera High School,IV,Cabiao,306049@deped.gov.ph,,,,
300517,Gregorio T. Crespo Memorial High School,IV,Cabiao,300517@deped.gov.ph,,,,
306823,Manuel V. Gallego High School,IV,Cabiao,306823@deped.gov.ph,,,,
305811,St. Joseph National High School,IV,Cabiao,305811@deped.gov.ph,,,,
300856,Sta. Rita National High School,IV,Cabiao,300856@deped.gov.ph,,,,
305872,Cabiao Senior High School,IV,Cabiao,305872@deped.gov.ph,,,,
,Cabiao District Office,IV,Cabiao,,,,,
501242,Binbin Integrated School,II,Carranglan,501242@deped.gov.ph,,,,
500121,Bunga Integrated High School,II,Carranglan,500121@deped.gov.ph,,,,
500120,Gen. Luna Integrated School (Gen. Luna ES),II,Carranglan,500120@deped.gov.ph,,,,
502392,Nagcancionan Integrated School,II,Carranglan,502392@deped.gov.ph,,,,
502391,Puncan Integrated School,II,Carranglan,502391@deped.gov.ph,,,,
105234,Abebeg Elementary School,II,Carranglan,105234@deped.gov.ph,,,,
105235,Baluarte Elementary School,II,Carranglan,105235@deped.gov.ph,,,,
105236,Bantug Elementary School,II,Carranglan,105236@deped.gov.ph,,,,
105239,Burgos Elementary School,II,Carranglan,105239@deped.gov.ph,,,,
105240,Camanggahan Elementary School,II,Carranglan,105240@deped.gov.ph,,,,
105241,Capintalan Elementary School,II,Carranglan,105241@deped.gov.ph,,,,
105242,Carranglan Central School,II,Carranglan,105242@deped.gov.ph,,,,
105243,Daldalayap Elementary School,II,Carranglan,105243@deped.gov.ph,,,,
105244,Digdig-Joson Elementary School,II,Carranglan,105244@deped.gov.ph,,,,
105246,Maringalo Elementary School (Proper),II,Carranglan,105246@deped.gov.ph,,,,
105248,Minuli Elementary School,II,Carranglan,105248@deped.gov.ph,,,,
105249,Obito Elementary School,II,Carranglan,105249@deped.gov.ph,,,,
105250,Piut Elementary School,II,Carranglan,105250@deped.gov.ph,,,,
105252,Putlan Elementary School,II,Carranglan,105252@deped.gov.ph,,,,
105247,Red Cross Village Elementary School,II,Carranglan,105247@deped.gov.ph,,,,
502832,Salazar Integrated School,II,Carranglan,502832@deped.gov.ph,,,,
105254,San Agustin Elementary School,II,Carranglan,105254@deped.gov.ph,,,,
501242,Binbin Integrated School,II,Carranglan,501242@deped.gov.ph,,,,
500121,Bunga Integrated High School,II,Carranglan,500121@deped.gov.ph,,,,
500120,Gen. Luna Integrated School,II,Carranglan,500120@deped.gov.ph,,,,
502392,Nagcancionan Integrated School,II,Carranglan,502392@deped.gov.ph,,,,
502391,Puncan Integrated School,II,Carranglan,502391@deped.gov.ph,,,,
306804,Burgos National High School,II,Carranglan,306804@deped.gov.ph,,,,
300798,Capintalan National High School,II,Carranglan,300798@deped.gov.ph,,,,
300797,Carranglan National High School,II,Carranglan,300797@deped.gov.ph,,,,
300799,Digdig High School,II,Carranglan,300799@deped.gov.ph,,,,
502832,Salazar Integrated School,II,Carranglan,502832@deped.gov.ph,,,,
306804,Burgos National High School,II,Carranglan,306804@deped.gov.ph,,,,
300798,Capintalan National High School,II,Carranglan,300798@deped.gov.ph,,,,
300797,Carranglan National High School,II,Carranglan,300797@deped.gov.ph,,,,
300799,Digdig High School,II,Carranglan,300799@deped.gov.ph,,,,
500121,Bunga Integrated High School,II,Carranglan,500121@deped.gov.ph,,,,
500120,Gen. Luna Integrated High School,II,Carranglan,500120@deped.gov.ph,,,,
501242,Binbiin Integrated School,II,Carranglan,501242@deped.gov.ph,,,,
,Carangalan District Office,II,Carranglan,,,,,
105255,Baloy Elementary School,I,Cuyapo East,,,,,
105256,Bambanaba Elementary School,I,Cuyapo East,105256@deped.gov.ph,,,,
105258,Bibiclat Elementary School,I,Cuyapo East,105258@deped.gov.ph,,,,
105259,Bonifacio Elementary School,I,Cuyapo East,105259@deped.gov.ph,,,,
105261,Burgos Elementary School,I,Cuyapo East,105261@deped.gov.ph,,,,
105262,Cabatuan Elementary School,I,Cuyapo East,105262@deped.gov.ph,,,,
105263,Cabileo Elementary School,I,Cuyapo East,105263@deped.gov.ph,,,,
128367,Cacapasan Elementary School,I,Cuyapo East,128367@deped.gov.ph,,,,
105266,Colosboa Primary School,I,Cuyapo East,105266@deped.gov.ph,,,,
105267,Columbitin Elementry School,I,Cuyapo East,105267@deped.gov.ph,,,,
105268,Curva Elementary School,I,Cuyapo East,105268@deped.gov.ph,,,,
105290,Cuyapo East Central School,I,Cuyapo East,105290@deped.gov.ph,,,,
105278,Malineng Elementary School,I,Cuyapo East,105278@deped.gov.ph,,,,
105296,Manuel Tiaoqui Elementary School (Formerly Tagtagumbao PS),I,Cuyapo East,105296@deped.gov.ph,,,,
105279,Matindeg Elementary School,I,Cuyapo East,105279@deped.gov.ph,,,,
105281,Nagcuralan Elementary School,I,Cuyapo East,105281@deped.gov.ph,,,,
105282,Nagmisahan Elementary School,I,Cuyapo East,105282@deped.gov.ph,,,,
105283,Paitan Norte Elementary School,I,Cuyapo East,105283@deped.gov.ph,,,,
105284,Paitan Sur Elementary School,I,Cuyapo East,105284@deped.gov.ph,,,,
105287,Rizal Elementary School,I,Cuyapo East,105287@deped.gov.ph,,,,
105292,San Juan Elementary School,I,Cuyapo East,105292@deped.gov.ph,,,,
105294,Sta. Clara Elementary School,I,Cuyapo East,105294@deped.gov.ph,,,,
105295,Sta. Cruz Elementary School,I,Cuyapo East,105295@deped.gov.ph,,,,
300786,Baloy High School,I,Cuyapo East,300786@deped.gov.ph,,,,
300803,Dr. Ramon De Santos National High School,I,Cuyapo East,300803@deped.gov.ph,,,,
300827,Paitan Sur National High School,I,Cuyapo East,300827@deped.gov.ph,,,,
300786,Baloy High School,I,Cuyapo East,300786@deped.gov.ph,,,,
300803,Dr. Ramon De Santos National High School,I,Cuyapo East,300803@deped.gov.ph,,,,
300827,Paitan Sur National High School,I,Cuyapo East,300827@deped.gov.ph,,,,
502390,Villaflores Integrated School,I,Cuyapo West,502390@deped.gov.ph,,,,
105257,Bentigan Elementary School,I,Cuyapo West,105257@deped.gov.ph,,,,
105260,Bued Elementary School,I,Cuyapo West,105260@deped.gov.ph,,,,
105280,C.B. Tejero Elementary School,I,Cuyapo West,105280@deped.gov.ph,,,,
105264,Calancuasan Norte Elementary School,I,Cuyapo West,105264@deped.gov.ph,,,,
105265,Calancuasan Sur Elementary School,I,Cuyapo West,105265@deped.gov.ph,,,,
105269,Cuyapo West Central School,I,Cuyapo West,105269@deped.gov.ph,,,,
105270,Democrito M. Jose Elementary School,I,Cuyapo West,105270@deped.gov.ph,,,,
105271,Dona Consuelo Elementary School,I,Cuyapo West,105271@deped.gov.ph,,,,
105272,Doroteo R. Jose Elementary School,I,Cuyapo West,105272@deped.gov.ph,,,,
105273,Dr. A. Ongsiako Sr. Elementary School,I,Cuyapo West,105273@deped.gov.ph,,,,
105274,E. Abalos Primary School,I,Cuyapo West,105274@deped.gov.ph,,,,
105275,Loob Elementary School,I,Cuyapo West,105275@deped.gov.ph,,,,
105276,Luna Elementary School,I,Cuyapo West,105276@deped.gov.ph,,,,
105277,Malbeg Primary School,I,Cuyapo West,105277@deped.gov.ph,,,,
105285,Piglisan Elementary School,I,Cuyapo West,105285@deped.gov.ph,,,,
105286,Pugo Primary School,I,Cuyapo West,105286@deped.gov.ph,,,,
105288,Sabit Elementary School,I,Cuyapo West,105288@deped.gov.ph,,,,
105289,Salagusog Elementary School,I,Cuyapo West,105289@deped.gov.ph,,,,
105291,San Jose Elementary School,I,Cuyapo West,105291@deped.gov.ph,,,,
105293,Simimbaan Elementary School,I,Cuyapo West,105293@deped.gov.ph,,,,
102318,Tutuloy Elementary School,I,Cuyapo West,102318@deped.gov.ph,,,,
502390,Villaflores Integrated School,I,Cuyapo West,502390@deped.gov.ph,,,,
306824,Calancuasan National High School,I,Cuyapo West,306824@deped.gov.ph,,,,
300801,Cuyapo National High School,I,Cuyapo West,300801@deped.gov.ph,,,,
300842,Salagusog National High School,I,Cuyapo West,300842@deped.gov.ph,,,,
305813,Bued-Luna High School,I,Cuyapo West,305813@deped.gov.ph,,,,
305948,Simimbaan High School,I,Cuyapo West,305948@deped.gov.ph,,,,
306824,Calancuasan National High School,I,Cuyapo West,306824@deped.gov.ph,,,,
300801,Cuyapo National High School,I,Cuyapo West,300801@deped.gov.ph,,,,
300842,Salagusog National High School,I,Cuyapo West,300842@deped.gov.ph,,,,
,Cuyapo West District Office,I,Cuyapo West,300842@deped.gov.ph,,,,
,Cuyapo East District Office,I,Cuyapo East,300842@deped.gov.ph,,,,
501812,Bagong Sikat Integrated School,III,Gabaldon,501812@deped.gov.ph,,,,
105299,Bagting Elementary School,III,Gabaldon,105299@deped.gov.ph,,,,
105300,Bantug Elementary School,III,Gabaldon,105300@deped.gov.ph,,,,
105301,Bateria Elementary School,III,Gabaldon,105301@deped.gov.ph,,,,
105302,Bugnan Elementary School,III,Gabaldon,105302@deped.gov.ph,,,,
105303,Calabasa Elementary School,III,Gabaldon,105303@deped.gov.ph,,,,
105304,Camatchile Elementay School,III,Gabaldon,105304@deped.gov.ph,,,,
137198,Carugang Elementary School,III,Gabaldon,137198@deped.gov.ph,,,,
105305,Cuyapa Elementary School,III,Gabaldon,105305@deped.gov.ph,,,,
159029,Dupinga Elementary School,III,Gabaldon,159029@deped.gov.ph,,,,
105306,F. Buencamino Sr. Integrated School (F. Buencamino Sr. ES),III,Gabaldon,105306@deped.gov.ph,,,,
105307,Gabaldon Central School,III,Gabaldon,105307@deped.gov.ph,,,,
105308,Gabaldon South Elementary School,III,Gabaldon,105308@deped.gov.ph,,,,
159018,Gawad Kalinga Elementary School(Tagumpay ES Annex),III,Gabaldon,159018@deped.gov.ph,,,,
105309,Ligaya Elementary School,III,Gabaldon,105309@deped.gov.ph,,,,
159005,Mabaldog Elementary School (IP School),III,Gabaldon,159005@deped.gov.ph,,,,
105310,Malinao Elementary School,III,Gabaldon,105310@deped.gov.ph,,,,
159004,Pagsangjan Elementary School,III,Gabaldon,159004@deped.gov.ph,,,,
105311,Pantoc Elementary School,III,Gabaldon,105311@deped.gov.ph,,,,
105312,Pinamalisan Elementary School,III,Gabaldon,105312@deped.gov.ph,,,,
128986,Pindangan Indigenous Peoples Elementary School,III,Gabaldon,128986@deped.gov.ph,,,,
105313,Tagumpay Elementary School,III,Gabaldon,105313@deped.gov.ph,,,,
501812,Bagong Sikat Integrated School,III,Gabaldon,501812@deped.gov.ph,,,,
305812,Bagting National High School,III,Gabaldon,305812@deped.gov.ph,,,,
306287,F. Buencamino Sr. Integrated School,III,Gabaldon,306287@deped.gov.ph,,,,
300805,Gabaldon Voc'L. Agric. High School,III,Gabaldon,300805@deped.gov.ph,,,,
306814,Ligaya National High School,III,Gabaldon,306814@deped.gov.ph,,,,
305812,Bagting National High School,III,Gabaldon,305812@deped.gov.ph,,,,
306287,F. Buencamino Sr. Integrated School,III,Gabaldon,306287@deped.gov.ph,,,,
300805,Gabaldon Voc'L. Agric. High School,III,Gabaldon,300805@deped.gov.ph,,,,
306814,Ligaya National High School,III,Gabaldon,306814@deped.gov.ph,,,,
,Gabaldon District Office,III,Gabaldon,,,,,
501167,Azarcon Integrated School,III,Gen. M. Natividad,501167@deped.gov.ph,,,,
501168,Virginia D. Dulay Integrated School,III,Gen. M. Natividad,501168@deped.gov.ph,,,,
105359,Apolinario Santiago Elementary School,III,Gen. M. Natividad,105359@deped.gov.ph,,,,
105347,Balangkare Elementary School,III,Gen. M. Natividad,105347@deped.gov.ph,,,,
105348,Belen Elementary School,III,Gen. M. Natividad,105348@deped.gov.ph,,,,
105349,Bravo Elementary School,III,Gen. M. Natividad,105349@deped.gov.ph,,,,
105350,Burol Elementary School,III,Gen. M. Natividad,105350@deped.gov.ph,,,,
105351,Virginia T. Custodio ES (E.L. Joson Elementary School),III,Gen. M. Natividad,105351@deped.gov.ph,,,,
105352,General M. Natividad Central School,III,Gen. M. Natividad,105352@deped.gov.ph,,,,
105353,Kabulihan Elementary School,III,Gen. M. Natividad,105353@deped.gov.ph,,,,
105354,Mag-Asawang Sampaloc Elementary School,III,Gen. M. Natividad,105354@deped.gov.ph,,,,
105355,Manarog Elementary School,III,Gen. M. Natividad,105355@deped.gov.ph,,,,
105356,Mataas Na Kahoy Elementary School,III,Gen. M. Natividad,105356@deped.gov.ph,,,,
105357,Panacsac Elementary School,III,Gen. M. Natividad,105357@deped.gov.ph,,,,
105358,Picaleon Elementary School,III,Gen. M. Natividad,105358@deped.gov.ph,,,,
105360,Platero Elementary School,III,Gen. M. Natividad,105360@deped.gov.ph,,,,
105361,Pulong Singkamas Elementary School,III,Gen. M. Natividad,105361@deped.gov.ph,,,,
105363,Talabutab Norte Elementary School,III,Gen. M. Natividad,105363@deped.gov.ph,,,,
105364,Talabutab Sur Elementary School,III,Gen. M. Natividad,105364@deped.gov.ph,,,,
501167,Azarcon Integrated School,III,Gen. M. Natividad,501167@deped.gov.ph,,,,
501168,Virginia D. Dulay Integrated School,III,Gen. M. Natividad,501168@deped.gov.ph,,,,
300863,Eduardo L. Joson Memorial High School,III,Gen. M. Natividad,300863@deped.gov.ph,,,,
300862,Gen. Mamerto Natividad National High School,III,Gen. M. Natividad,300862@deped.gov.ph,,,,
300823,Mataas Na Kahoy National High School,III,Gen. M. Natividad,300823@deped.gov.ph,,,,
300861,Talabutab Norte National High School,III,Gen. M. Natividad,300861@deped.gov.ph,,,,
300863,Eduardo L. Joson Memorial High School,III,Gen. M. Natividad,300863@deped.gov.ph,,,,
300862,Gen. Mamerto Natividad National High School,III,Gen. M. Natividad,300862@deped.gov.ph,,,,
300823,Mataas Na Kahoy National High School,III,Gen. M. Natividad,300823@deped.gov.ph,,,,
300861,Talabutab Norte National High School,III,Gen. M. Natividad,300861@deped.gov.ph,,,,
,Gen. M. Natividad District Office,III,Gen. M. Natividad,,,,,
501811,Irenea Integrated School,IV,General Tinio,501811@deped.gov.ph,,,,
105365,Bago Elementary School,IV,General Tinio,105365@deped.gov.ph,,,,
128721,Bulak Elementary School,IV,General Tinio,128721@deped.gov.ph,,,,
159014,Gawad Kalinga Comm. Elementary School (Pahalang ES),IV,General Tinio,159014@deped.gov.ph,,,,
105366,Gen. Tinio Central School,IV,General Tinio,105366@deped.gov.ph,,,,
105367,Gen. Tinio East Central School,IV,General Tinio,105367@deped.gov.ph,,,,
105368,Gen. Tinio West Central School,IV,General Tinio,105368@deped.gov.ph,,,,
159024,Green Land Elementary School,IV,General Tinio,159024@deped.gov.ph,,,,
159009,Mapedya Elementary School,IV,General Tinio,159009@deped.gov.ph,,,,
159019,Minalungao Elementary School,IV,General Tinio,159019@deped.gov.ph,,,,
105369,Nazareth Elementary School,IV,General Tinio,105369@deped.gov.ph,,,,
105370,Padolina Elementary School,IV,General Tinio,105370@deped.gov.ph,,,,
105588,Palale Elementary School,IV,General Tinio,105588@deped.gov.ph,,,,
105371,Patindig-Araw Elementary School,IV,General Tinio,105371@deped.gov.ph,,,,
105372,Pias Elementary School,IV,General Tinio,105372@deped.gov.ph,,,,
105373,Rio Chico Elementary School,IV,General Tinio,105373@deped.gov.ph,,,,
105374,Sibug Elementary School,IV,General Tinio,105374@deped.gov.ph,,,,
501811,Irenea Integrated School,IV,General Tinio,501811@deped.gov.ph,,,,
300808,General Tinio National High School,IV,General Tinio,300808@deped.gov.ph,,,,
306809,Leonor M. Bautista High School,IV,General Tinio,306809@deped.gov.ph,,,,
300785,Lino P. Bernardo National High School,IV,General Tinio,300785@deped.gov.ph,,,,
305588,Pagtalunan High School,IV,General Tinio,305588@deped.gov.ph,,,,
305569,Palale High School,IV,General Tinio,305569@deped.gov.ph,,,,
300840,Rio Chico National High School,IV,General Tinio,300840@deped.gov.ph,,,,
306436,General Tinio Senior High School,IV,General Tinio,306436@deped.gov.ph,,,,
306809,Leonor M. Bautista High School,IV,General Tinio,306809@deped.gov.ph,,,,
300785,Lino P. Bernardo National High School,IV,General Tinio,300785@deped.gov.ph,,,,
305588,Pagtalunan High School,IV,General Tinio,305588@deped.gov.ph,,,,
305569,Palale High School,IV,General Tinio,305569@deped.gov.ph,,,,
300840,Rio Chico National High School,IV,General Tinio,300840@deped.gov.ph,,,,
,General Tinio District Office,IV,General Tinio,,,,,
501840,Bunol Integrated School,I,Guimba East,501840@deped.gov.ph,,,,
501816,San Bernardino Integrated School,I,Guimba East,501816@deped.gov.ph,,,,
137114,Ayos Lomboy Elementary School,I,Guimba East,137114@deped.gov.ph,,,,
105375,Bantug Elementary School,I,Guimba East,105375@deped.gov.ph,,,,
105377,Caballero Elementary School,I,Guimba East,105377@deped.gov.ph,,,,
105378,Cabaruan Elementary School,I,Guimba East,105378@deped.gov.ph,,,,
105379,Camiing Elementary School,I,Guimba East,105379@deped.gov.ph,,,,
105380,Cavite Elementary School,I,Guimba East,105380@deped.gov.ph,,,,
105381,Cawayang Bugtong Elementary School,I,Guimba East,105381@deped.gov.ph,,,,
105382,Consuelo Elementary School,I,Guimba East,105382@deped.gov.ph,,,,
105383,Culong Elementary School,I,Guimba East,105383@deped.gov.ph,,,,
105385,Don Pedro D. Corpus Elementary School,I,Guimba East,105385@deped.gov.ph,,,,
105386,Faigal Elementary School,I,Guimba East,105386@deped.gov.ph,,,,
105387,Guimba East Central School,I,Guimba East,105387@deped.gov.ph,,,,
105388,Guiset Elementary School,I,Guimba East,105388@deped.gov.ph,,,,
105389,Manacsac Elementary School,I,Guimba East,105389@deped.gov.ph,,,,
105390,Maturanoc Elementary School,I,Guimba East,105390@deped.gov.ph,,,,
105391,Naglabrahan Elementary School,I,Guimba East,105391@deped.gov.ph,,,,
105392,Nagpandayan Elementary School,I,Guimba East,105392@deped.gov.ph,,,,
105393,San Andres Elementary School,I,Guimba East,105393@deped.gov.ph,,,,
502805,San Marcelino Integrated School,I,Guimba East,502805@deped.gov.ph,,,,
105396,San Roque Elementary School,I,Guimba East,105396@deped.gov.ph,,,,
105397,Sinulatan Elementary School,I,Guimba East,105397@deped.gov.ph,,,,
502881,Sta. Ana Integrated School,I,Guimba East,502881@deped.gov.ph,,,,
105399,Sta. Cruz Elementary School,I,Guimba East,105399@deped.gov.ph,,,,
137169,Sta. Lucia Primary School,I,Guimba East,137169@deped.gov.ph,,,,
105403,Triala Elementary School,I,Guimba East,105403@deped.gov.ph,,,,
501840,Bunol Integrated School,I,Guimba East,501840@deped.gov.ph,,,,
501816,San Bernardino Integrated School,I,Guimba East,501816@deped.gov.ph,,,,
300809,Bartolome Sangalang National High School,I,Guimba East,300809@deped.gov.ph,,,,
306815,Manacsac High School,I,Guimba East,306815@deped.gov.ph,,,,
300825,Nagpandayan National High School,I,Guimba East,300825@deped.gov.ph,,,,
300843,San Andres High School,I,Guimba East,300843@deped.gov.ph,,,,
300869,Triala National High School,I,Guimba East,300869@deped.gov.ph,,,,
502805,San Marcelino Integrated School,I,Guimba East,502805@deped.gov.ph,,,,
502881,Sta. Ana Integrated School,I,Guimba East,502881@deped.gov.ph,,,,
300809,Bartolome Sangalang National High School,I,Guimba East,300809@deped.gov.ph,,,,
306815,Manacsac High School,I,Guimba East,306815@deped.gov.ph,,,,
300825,Nagpandayan National High School,I,Guimba East,300825@deped.gov.ph,,,,
300843,San Andres High School,I,Guimba East,300843@deped.gov.ph,,,,
300869,Triala National High School,I,Guimba East,300869@deped.gov.ph,,,,
,Guimba East District Office,I,Guimba East,,,,,
,Guimba West District Office,I,Guimba West,,,,,
501658,Maybubon Integrated School,I,Guimba West,501658@deped.gov.ph,,,,
105404,Bacayao Elementary School,I,Guimba West,105404@deped.gov.ph,,,,
105405,Bagong Barrio Elementary School,I,Guimba West,105405@deped.gov.ph,,,,
105406,Balingog East Elementary School,I,Guimba West,105406@deped.gov.ph,,,,
105407,Balingog West Elementary School,I,Guimba West,105407@deped.gov.ph,,,,
105408,Banitan Elementary School,I,Guimba West,105408@deped.gov.ph,,,,
105409,Bertese Elementary School,I,Guimba West,105409@deped.gov.ph,,,,
105410,Calem Elementary School,I,Guimba West,105410@deped.gov.ph,,,,
105411,Casongsong Elementary School,I,Guimba West,105411@deped.gov.ph,,,,
105412,Catimon Elementary School,I,Guimba West,105412@deped.gov.ph,,,,
